Doc,TF
D8055,0
D8056,0
D8057,0
D8059,0
D8066,0
D8067,0
D8073,0
D8074,0
D8078,0
D8081,0
D8088,1
D8090,0
D8093,0
D8099,1
D8100,0
D8102,0
D8103,0
D8110,0
D8112,1
D8115,0
D8121,0
D8124,0
D8126,0
D8131,10
D8132,1
D8136,0
D8138,0
D8144,0
D8145,0
D8146,1
D8149,0
D8150,0
D8151,0
D8160,0
D8168,0
D8173,0
D8175,0
D8177,1
D8186,0
D8188,0
D8191,1
D8197,0
D8198,1
D8201,0
D8202,0
D8207,0
D8210,2
D8211,1
D8215,1
D8219,0
D8235,0
D8244,0
D8245,0
D8250,0
D8255,0
D8260,0
D8262,0
D8267,1
D8268,1
D8275,0
D8280,0
D8283,0
D8290,0
D8295,0
D8297,2
D8304,0
D8306,0
D8318,0
D8320,0
D8321,0
D8324,0
D8326,0
D8332,0
D8333,0
D8334,1
D8339,0
D8340,0
D8342,3
D8343,0
D8346,1
D8358,0
D8359,1
D8360,0
D8361,0
D8362,0
D8363,0
D8364,1
D8365,0
D8366,0
D8368,0
D8369,1
D8374,0
D8375,0
D8376,0
D8381,0
D8384,0
D8387,0
D8388,0
D8391,1
D8392,0
D8393,0
D8394,0
D8395,0
D8397,1
D8405,0
D8407,0
D8412,0
D8418,1
D8420,0
D8421,0
D8424,1
D8425,0
D8431,2
D8432,0
D8433,0
D8434,0
D8435,0
D8441,1
D8442,1
D8446,0
D8447,2
D8452,0
D8455,2
D8458,2
D8459,0
D8470,0
D8473,0
D8478,0
D8479,1
D8486,0
D8487,0
D8491,0
D8492,0
D8493,0
D8497,1
D8499,0
D8501,1
D8502,1
